Cable,Point,Latitude,Longitude
Cable_1,Start,57.35691111,10.53574167
Cable_1,Bend_1,57.47271389,10.84041944
Cable_1,End,57.51526111,12.09806667
Cable_2,Start,57.26806389,10.535875
Cable_2,Bend_1,57.24204167,10.72913611
Cable_2,End,57.28418333,10.912925
Cable_3,Start,57.18691667,11.10171667
Cable_3,Bend_1,57.09657778,11.73715833
Cable_3,End,57.12450278,12.27053889
Cable_4,Start,57.34086667,11.22185556
Cable_4,Bend_1,57.00283056,11.78974444
Cable_4,End,56.68929167,12.70999722
Cable_5,Start,55.70885278,10.01810278
Cable_5,End,55.56739444,10.117775
Cable_6,Start,55.33159722,10.82359722
Cable_6,End,55.33036944,11.18114444
Cable_7,Start,54.67851389,11.38322778
Cable_7,End,54.52283889,11.24311667
Cable_8,Start,56.10806111,12.60946944
Cable_8,End,56.07175556,12.56313056
Cable_9,Start,56.03166111,12.70165833
Cable_9,End,56.02743056,12.6185
Cable_10,Start,55.71930556,12.58794167
Cable_10,Bend_1,55.77198333,12.74938056
Cable_10,End,55.76152778,12.91920556
Cable_11,Start,55.58754722,12.70050278
Cable_11,End,55.5609,12.91053889
Cable_12,Start,55.59030278,12.48239444
Cable_12,Bend_1,55.52267778,12.52938611
Cable_12,End,55.51491111,12.89273611
Cable_13,Start,55.25248333,12.401775
Cable_13,Bend_1,55.14280833,12.85796667
Cable_13,End,55.09215556,14.68496667
Cable_14,Start,54.56651944,11.96096667
Cable_14,Bend_1,54.31893333,11.96540833
Cable_14,End,54.18515833,12.08190556
Cable_15,Start,54.56651944,11.96096667
Cable_15,Bend_1,54.63192778,12.63028056
Cable_15,Bend_2,54.88605556,13.56181944
Cable_15,Bend_3,54.94391111,14.89017778
Cable_15,End,55.02227222,15.01852778
Cable_16,Start,54.54116111,13.70245556
Cable_16,Bend_1,54.89799722,14.46852778
Cable_16,End,55.08648333,14.72975278
Cable_17,Start,55.42622222,13.87678611
Cable_17,Bend_1,55.01434444,14.45977778
Cable_17,End,55.08648333,14.72975278
Cable_18,Start,55.42951944,14.26247222
Cable_18,End,55.21621111,14.71188889
Cable_19,Start,55.08648333,14.72975278
Cable_19,Bend_1,54.57859722,15.45945833
Cable_19,End,54.21017222,15.62174167
Cable_20,Start,55.25203889,14.88678889
Cable_20,Bend_1,55.64501389,15.35341667
Cable_20,End,56.197675,16.46964444
Cable_21,Start,54.18515833,12.08190556
Cable_21,Bend_1,54.70189722,12.65218611
Cable_21,Bend_2,54.94952778,13.54544722
Cable_21,Bend_3,55.33461944,14.44842222
Cable_21,Bend_4,55.58403333,15.35683056
Cable_21,End,55.69911944,16.36183611
